tanggal,tn,tx,tavg,rh_avg,rr,source_file,month,day_of_year,rain3,rain3_valid_days,rain7,rain7_valid_days,rain14,rain14_valid_days,temp_range,rainfall_anomaly,score_rr,score_rain3,score_rain7,score_rain14,score_rh_avg,score_temp_range,fri,risk_level,confidence
2024-08-10,23.8,33.5,28.1,80.0,,laporan_iklim_harian-agustus - 2024.xlsx,8,223,0.0,1,31.1,3,58.400000000000006,10,9.7,,,0.0,37.18975180144113,29.107611548556434,43.75,37.500000000000114,27.568965233429108,Low,0.36904761904761907
2024-08-11,24.4,33.0,28.6,80.0,,laporan_iklim_harian-agustus - 2024.xlsx,8,224,0.0,1,24.1,2,58.400000000000006,9,8.600000000000001,,,0.0,31.585268214571638,29.107611548556434,43.75,62.5,31.448068516055187,Low,0.31547619047619047
2024-08-12,23.6,34.1,28.4,75.0,,laporan_iklim_harian-agustus - 2024.xlsx,8,225,,0,24.1,2,58.400000000000006,8,10.5,,,,31.585268214571638,29.107611548556434,21.42857142857143,23.333333333333357,26.114249275140192,Low,0.15714285714285714
2024-08-13,23.7,32.7,28.0,78.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx,8,226,0.0,1,24.1,3,58.400000000000006,8,9.000000000000004,21.012269938650302,0.0,0.0,31.585268214571638,29.107611548556434,31.25,54.16666666666664,20.461051387041387,Low,0.4444444444444444
2024-08-14,24.5,33.4,28.0,76.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx,8,227,0.0,2,0.0,3,58.10000000000001,8,8.899999999999999,21.012269938650302,0.0,0.0,0.0,28.950131233595805,23.214285714285715,56.25000000000007,14.81465598050245,Low,0.5555555555555555
2024-08-15,24.8,33.6,27.8,83.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx,8,228,0.0,3,0.0,4,31.1,8,8.8,21.012269938650302,0.0,0.0,0.0,15.354135710747897,60.0,58.33333333333336,19.28541357107479,Low,0.7142857142857143
2024-08-16,25.6,28.8,25.6,96.0,1.2,laporan_iklim_harian-agustus - 2024.xlsx,8,229,1.2,3,1.2,4,32.300000000000004,8,3.1999999999999997,52.99079754601227,4.8,14.999999999999906,1.889763779527556,15.948489351163946,95.83333333333334,99.48979591836735,35.37678288980061,Medium,0.7142857142857143
2024-08-17,23.9,32.6,27.7,82.0,49.7,laporan_iklim_harian-agustus - 2024.xlsx,8,230,50.900000000000006,3,50.900000000000006,5,82.0,8,8.700000000000003,94.93865030674846,69.7,77.02809655718242,52.44530244530243,41.496062992125985,55.0,60.41666666666664,62.159520977444444,Medium,0.7619047619047619
2024-08-18,24.4,32.5,27.7,84.0,,laporan_iklim_harian-agustus - 2024.xlsx,8,231,50.900000000000006,2,50.900000000000006,5,75.0,7,8.100000000000001,,,77.02809655718242,52.44530244530243,37.821522309711284,65.0,72.91666666666664,63.656089212270636,Medium,0.47023809523809523
2024-08-19,24.3,34.0,29.1,76.0,11.6,laporan_iklim_harian-agustus - 2024.xlsx,8,232,61.3,2,62.50000000000001,6,86.60000000000001,8,9.7,75.84355828220859,28.799999999999997,79.08587257617728,59.9099099099099,43.91076115485565,23.214285714285715,37.500000000000114,45.50187997435037,Medium,0.6984126984126983
2024-08-20,24.0,30.0,25.8,88.0,3.6,laporan_iklim_harian-agustus - 2024.xlsx,8,233,15.2,2,66.10000000000001,6,90.2,9,6.0,65.03067484662577,14.4,50.85388994307397,62.22651222651221,45.800524934383205,79.16666666666667,85.20408163265306,52.340419560927906,Medium,0.7222222222222222
2024-08-21,24.0,30.4,26.6,86.0,0.4,laporan_iklim_harian-agustus - 2024.xlsx,8,234,15.6,3,66.5,6,66.5,9,6.399999999999999,47.23926380368098,1.6,51.2333965844402,62.48391248391246,33.35958005249344,75.0,83.16326530612245,47.079713990642624,Medium,0.8333333333333334
2024-08-22,24.2,32.5,27.6,82.0,,laporan_iklim_harian-agustus - 2024.xlsx,8,235,4.0,2,66.5,5,66.5,9,8.3,,,29.065040650406473,62.48391248391246,33.35958005249344,55.0,68.75,49.44540401055667,Medium,0.5059523809523809
2024-08-23,24.2,28.9,25.7,90.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx,8,236,0.4,2,65.3,5,66.5,9,4.699999999999999,21.012269938650302,0.0,4.999999999999969,61.71171171171169,33.35958005249344,83.33333333333333,91.83673469387756,39.86822496608772,Medium,0.6746031746031745
2024-08-24,23.4,29.2,25.9,87.0,8.9,laporan_iklim_harian-agustus - 2024.xlsx,8,237,8.9,2,24.5,5,75.4,10,5.800000000000001,73.15950920245399,25.2,39.024390243902396,31.90552441953561,38.031496062992126,77.08333333333333,86.22448979591837,47.19002978739779,Medium,0.6984126984126985
2024-08-25,23.0,32.4,26.5,83.0,0.3,laporan_iklim_harian-agustus - 2024.xlsx,8,238,9.2,3,24.8,6,75.7,11,9.4,46.08895705521473,1.2,39.634146341463364,32.14571657325859,38.188976377952756,60.0,45.00000000000007,32.61758439207675,Low,0.8809523809523809
2024-08-26,23.3,32.0,26.9,81.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx,8,239,9.2,3,13.2,6,75.7,12,8.7,21.012269938650302,0.0,39.634146341463364,20.787401574803116,38.188976377952756,50.0,60.416666666666714,31.426337142308423,Low,0.9047619047619048
2024-08-27,23.9,30.2,26.9,83.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx,8,240,0.3,3,9.6,6,75.70000000000002,12,6.300000000000001,21.012269938650302,0.0,3.7499999999999765,15.118110236220447,38.18897637795276,60.0,83.6734693877551,28.387634581391605,Low,0.9047619047619048
2024-08-28,23.4,32.4,27.6,75.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx,8,241,0.0,3,9.2,6,75.70000000000002,12,9.0,21.012269938650302,0.0,0.0,14.488188976377929,38.18897637795276,21.42857142857143,54.166666666666714,17.331411698537686,Low,0.9047619047619048
2024-08-29,24.2,34.2,28.7,76.0,,laporan_iklim_harian-agustus - 2024.xlsx,8,242,0.0,2,9.2,6,75.70000000000002,11,10.000000000000004,,,0.0,14.488188976377929,38.18897637795276,23.214285714285715,30.000000000000018,18.6323584551931,Low,0.5773809523809523
2024-08-30,24.4,33.3,28.5,73.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx,8,243,0.0,2,9.2,6,74.50000000000001,11,8.899999999999999,21.012269938650302,0.0,0.0,14.488188976377929,37.559055118110244,17.857142857142858,56.25000000000007,17.045205286839153,Low,0.7698412698412698
2024-08-31,24.5,33.7,28.8,73.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx,8,244,0.0,2,0.3,6,24.8,11,9.200000000000005,21.012269938650302,0.0,0.0,0.472440944881889,12.233779098563646,17.857142857142858,49.99999999999996,11.472815480160069,Low,0.7698412698412698
2024-09-01,24.0,35.1,28.9,75.0,,laporan_iklim_harian-september 2024.xlsx,9,245,0.0,2,0.0,5,24.8,11,11.1,,,0.0,0.0,12.233779098563646,21.42857142857143,20.00000000000002,9.916884832189444,Low,0.5416666666666666
2024-09-02,25.3,34.3,29.2,80.0,15.5,laporan_iklim_harian-september 2024.xlsx,9,246,15.5,2,15.5,5,28.700000000000003,11,8.999999999999996,80.29141104294479,34.0,51.138519924098645,24.409448818897598,14.165428429915803,43.75,54.16666666666679,38.49316415064597,Medium,0.7222222222222222
2024-09-03,23.2,32.8,27.1,80.0,13.0,laporan_iklim_harian-september 2024.xlsx,9,247,28.5,2,28.5,5,38.1,11,9.599999999999998,77.2239263803681,30.666666666666664,63.472485768500924,35.10808646917532,18.821198613174843,43.75,40.00000000000014,40.071996652060655,Medium,0.7222222222222222
2024-09-04,23.4,30.4,25.8,88.0,0.5,laporan_iklim_harian-september 2024.xlsx,9,248,29.0,3,29.0,5,38.2,11,7.0,48.2361963190184,2.0,63.946869070208706,35.50840672538028,18.870728083209514,79.16666666666667,80.10204081632654,44.39301375361872,Medium,0.8333333333333334
2024-09-05,23.8,34.9,28.9,78.0,,laporan_iklim_harian-september 2024.xlsx,9,249,13.5,2,29.0,5,38.2,11,11.099999999999998,,,48.37398373983734,35.50840672538028,18.870728083209514,31.25,20.000000000000032,32.76750742012729,Low,0.5416666666666666
2024-09-06,24.3,33.0,28.2,80.0,0.1,laporan_iklim_harian-september 2024.xlsx,9,250,0.6,2,29.1,5,38.3,11,8.7,42.714723926380366,0.4,7.499999999999953,35.58847077662128,18.92025755324418,43.75,60.416666666666714,24.455296371817607,Low,0.7222222222222222
2024-09-07,25.0,34.8,29.9,73.0,,laporan_iklim_harian-september 2024.xlsx,9,251,0.1,1,29.1,4,29.40000000000001,10,9.799999999999995,,,1.2499999999999922,35.58847077662128,14.5121347201585,17.857142857142858,35.00000000000021,19.957407356107336,Low,0.40476190476190477
2024-09-08,25.0,34.0,28.7,76.0,8.3,laporan_iklim_harian-september 2024.xlsx,9,252,8.4,2,37.4,5,37.400000000000006,10,9.0,72.69938650306749,24.4,38.00813008130077,42.23378702962368,18.47449232293215,23.214285714285715,54.166666666666714,33.49128616013978,Medium,0.6984126984126985
2024-09-09,24.9,29.8,26.8,85.0,0.0,laporan_iklim_harian-september 2024.xlsx,9,253,8.3,2,21.9,5,37.400000000000006,10,4.900000000000002,21.012269938650302,0.0,37.804878048780445,29.823859087269796,18.47449232293215,70.0,90.81632653061224,38.00445268473161,Medium,0.6984126984126985
2024-09-10,23.8,32.0,27.1,82.0,4.8,laporan_iklim_harian-september 2024.xlsx,9,254,13.1,3,13.7,5,42.2,10,8.2,67.33128834355828,19.2,47.56097560975604,21.574803149606264,20.85190688459634,55.0,70.83333333333336,38.50860628285179,Medium,0.8095238095238096
2024-09-11,23.8,31.7,26.6,88.0,0.1,laporan_iklim_harian-september 2024.xlsx,9,255,4.9,3,13.3,5,42.3,10,7.899999999999999,42.714723926380366,0.4,30.8943089430894,20.944881889763746,20.901436354631006,79.16666666666667,75.51020408163265,34.71226831979044,Medium,0.8095238095238096
2024-09-12,23.3,30.6,26.1,87.0,8.2,laporan_iklim_harian-september 2024.xlsx,9,256,13.099999999999998,3,21.5,6,50.5,11,7.300000000000001,72.39263803680981,24.266666666666666,47.560975609756035,29.503602882305824,24.962852897474,77.08333333333333,78.57142857142857,45.84890179642543,Medium,0.8809523809523809
2024-09-13,23.2,34.4,28.2,74.0,0.0,laporan_iklim_harian-september 2024.xlsx,9,257,8.299999999999997,3,21.4,6,50.5,11,11.2,21.012269938650302,0.0,37.80487804878044,29.423538831064832,24.962852897474,19.642857142857142,19.444444444444468,20.333886962258454,Low,0.8809523809523809
2024-09-14,23.2,33.0,27.2,81.0,,laporan_iklim_harian-september 2024.xlsx,9,258,8.199999999999998,2,21.4,6,50.5,10,9.8,,,37.60162601626011,29.423538831064832,24.962852897474,50.0,35.00000000000008,36.24018842354555,Medium,0.5595238095238095
2024-09-15,23.2,31.9,27.6,81.0,1.6,laporan_iklim_harian-september 2024.xlsx,9,259,1.5999999999999983,2,14.7,6,52.1,11,8.7,56.28834355828221,6.4,19.999999999999854,23.14960629921256,25.800524934383205,50.0,60.416666666666714,28.21499343832018,Low,0.7698412698412698
2024-09-16,22.9,34.2,27.5,77.0,0.4,laporan_iklim_harian-september 2024.xlsx,9,260,1.9999999999999984,2,15.1,6,37.0,11,11.300000000000004,47.23926380368098,1.6,24.999999999999826,23.77952755905508,18.276374442793465,25.0,18.888888888888882,17.377899911470905,Low,0.7698412698412698
2024-09-17,23.2,32.2,26.7,84.0,0.0,laporan_iklim_harian-september 2024.xlsx,9,261,1.9999999999999984,3,10.3,6,24.000000000000004,11,9.000000000000004,21.012269938650302,0.0,24.999999999999826,16.220472440944857,11.837543338286283,65.0,54.16666666666664,26.491825199970318,Low,0.8809523809523809
2024-09-18,23.3,33.1,28.0,76.0,,laporan_iklim_harian-september 2024.xlsx,9,262,0.3999999999999981,2,10.2,5,23.5,10,9.8,,,4.999999999999945,16.062992125984223,11.589895988112929,23.214285714285715,35.00000000000008,17.734108366469044,Low,0.5238095238095238
2024-09-19,23.2,34.7,28.4,74.0,0.8,laporan_iklim_harian-september 2024.xlsx,9,263,0.7999999999999983,2,2.8000000000000003,5,24.3,11,11.500000000000004,50.61349693251533,3.2,9.999999999999917,4.409448818897631,11.986131748390294,19.642857142857142,17.777777777777775,10.273125735768895,Low,0.7222222222222222
2024-09-20,24.4,34.4,28.8,75.0,,laporan_iklim_harian-september 2024.xlsx,9,264,0.8,1,2.8000000000000003,4,24.2,10,10.0,,,9.999999999999938,4.409448818897631,11.936602278355622,21.42857142857143,30.000000000000107,15.4258176866079,Low,0.40476190476190477
2024-09-21,23.9,34.8,28.7,72.0,0.1,laporan_iklim_harian-september 2024.xlsx,9,265,0.8999999999999982,2,2.9000000000000004,5,24.3,11,10.9,42.714723926380366,0.4,11.249999999999908,4.5669291338582605,11.986131748390294,16.071428571428573,21.11111111111113,9.811033497298705,Low,0.7222222222222222
2024-09-22,24.4,35.1,29.5,71.0,0.0,laporan_iklim_harian-september 2024.xlsx,9,266,0.0999999999999982,2,1.3,5,16.0,11,10.700000000000005,21.012269938650302,0.0,1.2499999999999698,2.047244094488186,7.875185735512631,14.285714285714286,22.222222222222218,6.820795663914961,Low,0.7222222222222222
2024-09-23,25.5,34.3,28.2,82.0,0.0,laporan_iklim_harian-september 2024.xlsx,9,267,0.0999999999999982,3,0.9,5,16.0,11,8.799999999999997,21.012269938650302,0.0,1.2499999999999698,1.417322834645667,7.875185735512631,55.0,58.33333333333343,18.25011699874812,Low,0.8333333333333334
2024-09-24,22.7,33.9,26.7,79.0,1.4,laporan_iklim_harian-september 2024.xlsx,9,268,1.399999999999998,3,2.3,5,12.6,11,11.2,54.44785276073619,5.6,17.499999999999865,3.622047244094482,6.19118375433383,37.5,19.444444444444468,14.604092128714198,Low,0.8333333333333334
2024-09-25,23.3,33.5,28.5,76.0,0.0,laporan_iklim_harian-september 2024.xlsx,9,269,1.399999999999998,3,2.3,6,12.5,11,10.2,21.012269938650302,0.0,17.499999999999865,3.622047244094482,6.141654284299159,23.214285714285715,25.00000000000013,11.889615372186938,Low,0.8809523809523809
2024-09-26,22.3,29.9,24.7,89.0,1.5,laporan_iklim_harian-september 2024.xlsx,9,270,2.899999999999998,3,3.0,6,5.8,11,7.599999999999998,55.52147239263804,6.0,26.829268292682894,4.72440944881889,2.8231797919762265,81.25,77.04081632653063,31.60045550403663,Low,0.8809523809523809
2024-09-27,22.4,33.9,27.9,79.0,0.8,laporan_iklim_harian-september 2024.xlsx,9,271,2.299999999999998,3,3.8,7,6.6,11,11.5,50.61349693251533,3.2,25.609756097560947,5.984251968503927,3.2194155522535914,37.5,17.777777777777793,15.433197236679806,Low,0.9285714285714285
2024-09-28,24.0,31.4,26.8,86.0,0.0,laporan_iklim_harian-september 2024.xlsx,9,272,2.299999999999998,3,3.7,7,6.6,12,7.399999999999999,21.012269938650302,0.0,25.609756097560947,5.826771653543298,3.2194155522535914,75.0,78.06122448979593,29.277092196238435,Low,0.9523809523809524
2024-09-29,24.5,34.7,28.6,78.0,4.1,laporan_iklim_harian-september 2024.xlsx,9,273,4.899999999999998,3,7.799999999999999,7,9.1,12,10.200000000000005,66.25766871165644,16.4,30.894308943089392,12.283464566929112,4.457652303120358,31.25,25.0,21.00464670396928,Low,0.9523809523809524
2024-09-30,23.8,34.6,28.3,77.0,,laporan_iklim_harian-september 2024.xlsx,9,274,4.099999999999998,2,7.799999999999999,6,8.7,11,10.8,,,29.26829268292679,12.283464566929112,4.259534422981675,25.0,21.666666666666686,20.162842218563863,Low,0.5773809523809523
2024-10-01,23.6,32.1,26.8,82.0,0.0,laporan_iklim_harian-oktober 2024.xlsx,10,275,4.099999999999998,2,6.399999999999999,6,8.7,11,8.5,21.012269938650302,0.0,29.26829268292679,10.078740157480297,4.259534422981675,55.0,64.58333333333336,25.728923002505574,Low,0.7698412698412698
