tanggal,tn,tx,tavg,rh_avg,rr,source_file,month,day_of_year,rain3,rain3_valid_days,rain7,rain7_valid_days,rain14,rain14_valid_days,temp_range,rainfall_anomaly
2024-07-12,23.4,31.4,26.4,86.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,194,1.5,2,6.4,5,8.6,10,8.0,21.012269938650306
2024-07-13,23.6,33.9,28.7,79.0,17.3,laporan_iklim_harian-Juli - 2024.xlsx,7,195,17.3,2,22.900000000000002,5,25.9,11,10.299999999999997,82.05521472392638
2024-07-14,24.2,30.2,27.0,82.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,196,17.3,3,20.400000000000002,5,25.900000000000002,12,6.0,21.012269938650306
2024-07-15,23.8,32.2,27.6,78.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,197,17.3,3,20.400000000000002,6,25.8,12,8.400000000000002,21.012269938650306
2024-07-16,23.8,31.8,27.9,77.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,198,0.0,3,18.8,6,25.8,12,8.0,21.012269938650306
2024-07-17,24.2,33.2,28.5,72.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,199,0.0,3,17.3,6,23.700000000000003,12,9.000000000000004,21.012269938650306
2024-07-18,22.8,33.8,27.9,77.0,0.6,laporan_iklim_harian-Juli - 2024.xlsx,7,200,0.6,3,17.900000000000002,7,24.300000000000004,12,10.999999999999996,49.15644171779141
2024-07-19,23.4,33.2,28.6,77.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,201,0.6,3,17.900000000000002,7,24.300000000000004,12,9.800000000000004,21.012269938650306
2024-07-20,25.0,34.0,29.1,74.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,202,0.6,3,0.6,7,23.500000000000004,12,9.0,21.012269938650306
2024-07-21,25.4,33.3,29.0,75.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,203,0.0,3,0.6,7,21.000000000000004,12,7.899999999999999,21.012269938650306
2024-07-22,25.5,34.4,29.2,75.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,204,0.0,3,0.6,7,21.000000000000004,13,8.899999999999999,21.012269938650306
2024-07-23,25.0,35.2,29.7,71.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,205,0.0,3,0.6,7,19.400000000000002,13,10.200000000000003,21.012269938650306
2024-07-24,26.0,35.6,29.9,69.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,206,0.0,3,0.6,7,17.900000000000002,13,9.600000000000001,21.012269938650306
2024-07-25,24.6,35.2,29.2,71.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,207,0.0,3,0.0,7,17.900000000000002,14,10.600000000000001,21.012269938650306
2024-07-26,23.8,34.0,28.1,75.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,208,0.0,3,0.0,7,17.900000000000002,14,10.2,21.012269938650306
2024-07-27,24.2,33.7,28.9,72.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,209,0.0,3,0.0,7,0.6,14,9.500000000000004,21.012269938650306
2024-07-28,24.8,34.7,29.2,72.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,210,0.0,3,0.0,7,0.6,14,9.900000000000002,21.012269938650306
2024-07-29,24.7,33.9,29.0,74.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,211,0.0,3,0.0,7,0.6,14,9.2,21.012269938650306
2024-07-30,23.7,34.6,28.6,76.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,212,0.0,3,0.0,7,0.6,14,10.900000000000002,21.012269938650306
2024-07-31,23.7,29.0,25.0,91.0,0.3,laporan_iklim_harian-Juli - 2024.xlsx,7,213,0.3,3,0.3,7,0.8999999999999999,14,5.300000000000001,46.08895705521473
2024-08-01,23.1,33.9,28.0,79.0,27.0,laporan_iklim_harian-agustus - 2024.xlsx,8,214,27.3,3,27.3,7,27.3,14,10.799999999999997,88.34355828220859
2024-08-02,23.2,33.1,28.4,79.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx,8,215,27.3,3,27.3,7,27.3,14,9.900000000000002,21.012269938650306
2024-08-03,25.1,33.9,29.0,75.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx,8,216,27.0,3,27.3,7,27.3,14,8.799999999999997,21.012269938650306
2024-08-04,23.3,32.3,26.4,86.0,7.0,laporan_iklim_harian-agustus - 2024.xlsx,8,217,7.0,3,34.3,7,34.3,14,8.999999999999996,69.93865030674846
2024-08-05,23.1,31.4,26.9,83.0,,laporan_iklim_harian-agustus - 2024.xlsx,8,218,7.0,2,34.3,6,34.3,13,8.299999999999997,
2024-08-06,23.8,32.7,28.0,80.0,,laporan_iklim_harian-agustus - 2024.xlsx,8,219,7.0,1,34.3,5,34.3,12,8.900000000000002,
2024-08-07,23.9,31.2,26.6,88.0,24.1,laporan_iklim_harian-agustus - 2024.xlsx,8,220,24.1,1,58.10000000000001,5,58.400000000000006,12,7.300000000000001,86.1963190184049
2024-08-08,24.0,32.6,27.7,82.0,,laporan_iklim_harian-agustus - 2024.xlsx,8,221,24.1,1,31.100000000000005,4,58.400000000000006,11,8.600000000000001,
2024-08-09,24.8,31.2,27.0,82.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx,8,222,24.1,2,31.1,4,58.400000000000006,11,6.399999999999999,21.012269938650306
2024-08-10,23.8,33.5,28.1,80.0,,laporan_iklim_harian-agustus - 2024.xlsx,8,223,0.0,1,31.1,3,58.400000000000006,10,9.7,
2024-08-11,24.4,33.0,28.6,80.0,,laporan_iklim_harian-agustus - 2024.xlsx,8,224,0.0,1,24.1,2,58.400000000000006,9,8.600000000000001,
2024-08-12,23.6,34.1,28.4,75.0,,laporan_iklim_harian-agustus - 2024.xlsx,8,225,,0,24.1,2,58.400000000000006,8,10.5,
2024-08-13,23.7,32.7,28.0,78.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx,8,226,0.0,1,24.1,3,58.400000000000006,8,9.000000000000004,21.012269938650306
2024-08-14,24.5,33.4,28.0,76.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx,8,227,0.0,2,0.0,3,58.10000000000001,8,8.899999999999999,21.012269938650306
2024-08-15,24.8,33.6,27.8,83.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx,8,228,0.0,3,0.0,4,31.1,8,8.8,21.012269938650306
2024-08-16,25.6,28.8,25.6,96.0,1.2,laporan_iklim_harian-agustus - 2024.xlsx,8,229,1.2,3,1.2,4,32.300000000000004,8,3.1999999999999993,52.99079754601227
2024-08-17,23.9,32.6,27.7,82.0,49.7,laporan_iklim_harian-agustus - 2024.xlsx,8,230,50.900000000000006,3,50.900000000000006,5,82.0,8,8.700000000000003,94.93865030674846
2024-08-18,24.4,32.5,27.7,84.0,,laporan_iklim_harian-agustus - 2024.xlsx,8,231,50.900000000000006,2,50.900000000000006,5,75.0,7,8.100000000000001,
2024-08-19,24.3,34.0,29.1,76.0,11.6,laporan_iklim_harian-agustus - 2024.xlsx,8,232,61.300000000000004,2,62.50000000000001,6,86.60000000000001,8,9.7,75.84355828220859
2024-08-20,24.0,30.0,25.8,88.0,3.6,laporan_iklim_harian-agustus - 2024.xlsx,8,233,15.2,2,66.10000000000001,6,90.2,9,6.0,65.03067484662577
2024-08-21,24.0,30.4,26.6,86.0,0.4,laporan_iklim_harian-agustus - 2024.xlsx,8,234,15.6,3,66.5,6,66.5,9,6.399999999999999,47.239263803680984
2024-08-22,24.2,32.5,27.6,82.0,,laporan_iklim_harian-agustus - 2024.xlsx,8,235,4.0,2,66.5,5,66.5,9,8.3,
2024-08-23,24.2,28.9,25.7,90.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx,8,236,0.4,2,65.3,5,66.5,9,4.699999999999999,21.012269938650306
2024-08-24,23.4,29.2,25.9,87.0,8.9,laporan_iklim_harian-agustus - 2024.xlsx,8,237,8.9,2,24.5,5,75.4,10,5.800000000000001,73.15950920245399
2024-08-25,23.0,32.4,26.5,83.0,0.3,laporan_iklim_harian-agustus - 2024.xlsx,8,238,9.200000000000001,3,24.8,6,75.7,11,9.399999999999999,46.08895705521473
2024-08-26,23.3,32.0,26.9,81.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx,8,239,9.200000000000001,3,13.200000000000001,6,75.7,12,8.7,21.012269938650306
2024-08-27,23.9,30.2,26.9,83.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx,8,240,0.3,3,9.600000000000001,6,75.70000000000002,12,6.300000000000001,21.012269938650306
2024-08-28,23.4,32.4,27.6,75.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx,8,241,0.0,3,9.200000000000001,6,75.70000000000002,12,9.0,21.012269938650306
2024-08-29,24.2,34.2,28.7,76.0,,laporan_iklim_harian-agustus - 2024.xlsx,8,242,0.0,2,9.200000000000001,6,75.70000000000002,11,10.000000000000004,
2024-08-30,24.4,33.3,28.5,73.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx,8,243,0.0,2,9.200000000000001,6,74.50000000000001,11,8.899999999999999,21.012269938650306
2024-08-31,24.5,33.7,28.8,73.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx,8,244,0.0,2,0.3,6,24.8,11,9.200000000000003,21.012269938650306
2024-09-01,24.0,35.1,28.9,75.0,,laporan_iklim_harian-september 2024.xlsx,9,245,0.0,2,0.0,5,24.8,11,11.100000000000001,
2024-09-02,25.3,34.3,29.2,80.0,15.5,laporan_iklim_harian-september 2024.xlsx,9,246,15.5,2,15.5,5,28.700000000000003,11,8.999999999999996,80.29141104294479
2024-09-03,23.2,32.8,27.1,80.0,13.0,laporan_iklim_harian-september 2024.xlsx,9,247,28.5,2,28.5,5,38.1,11,9.599999999999998,77.2239263803681
2024-09-04,23.4,30.4,25.8,88.0,0.5,laporan_iklim_harian-september 2024.xlsx,9,248,29.0,3,29.0,5,38.2,11,7.0,48.236196319018404
2024-09-05,23.8,34.9,28.9,78.0,,laporan_iklim_harian-september 2024.xlsx,9,249,13.5,2,29.0,5,38.2,11,11.099999999999998,
2024-09-06,24.3,33.0,28.2,80.0,0.1,laporan_iklim_harian-september 2024.xlsx,9,250,0.6,2,29.1,5,38.300000000000004,11,8.7,42.714723926380366
2024-09-07,25.0,34.8,29.9,73.0,,laporan_iklim_harian-september 2024.xlsx,9,251,0.1,1,29.1,4,29.400000000000006,10,9.799999999999997,
2024-09-08,25.0,34.0,28.7,76.0,8.3,laporan_iklim_harian-september 2024.xlsx,9,252,8.4,2,37.4,5,37.400000000000006,10,9.0,72.69938650306749
2024-09-09,24.9,29.8,26.8,85.0,0.0,laporan_iklim_harian-september 2024.xlsx,9,253,8.3,2,21.9,5,37.400000000000006,10,4.900000000000002,21.012269938650306
2024-09-10,23.8,32.0,27.1,82.0,4.8,laporan_iklim_harian-september 2024.xlsx,9,254,13.100000000000001,3,13.7,5,42.2,10,8.2,67.33128834355828
2024-09-11,23.8,31.7,26.6,88.0,0.1,laporan_iklim_harian-september 2024.xlsx,9,255,4.8999999999999995,3,13.3,5,42.300000000000004,10,7.899999999999999,42.714723926380366
2024-09-12,23.3,30.6,26.1,87.0,8.2,laporan_iklim_harian-september 2024.xlsx,9,256,13.099999999999998,3,21.5,6,50.5,11,7.300000000000001,72.39263803680981
2024-09-13,23.2,34.4,28.2,74.0,0.0,laporan_iklim_harian-september 2024.xlsx,9,257,8.299999999999997,3,21.4,6,50.5,11,11.2,21.012269938650306
2024-09-14,23.2,33.0,27.2,81.0,,laporan_iklim_harian-september 2024.xlsx,9,258,8.199999999999998,2,21.4,6,50.5,10,9.8,
2024-09-15,23.2,31.9,27.6,81.0,1.6,laporan_iklim_harian-september 2024.xlsx,9,259,1.5999999999999983,2,14.7,6,52.1,11,8.7,56.28834355828221
2024-09-16,22.9,34.2,27.5,77.0,0.4,laporan_iklim_harian-september 2024.xlsx,9,260,1.9999999999999982,2,15.1,6,37.0,11,11.300000000000004,47.239263803680984
2024-09-17,23.2,32.2,26.7,84.0,0.0,laporan_iklim_harian-september 2024.xlsx,9,261,1.9999999999999982,3,10.3,6,24.000000000000004,11,9.000000000000004,21.012269938650306
2024-09-18,23.3,33.1,28.0,76.0,,laporan_iklim_harian-september 2024.xlsx,9,262,0.39999999999999813,2,10.2,5,23.5,10,9.8,
2024-09-19,23.2,34.7,28.4,74.0,0.8,laporan_iklim_harian-september 2024.xlsx,9,263,0.7999999999999983,2,2.8000000000000003,5,24.299999999999997,11,11.500000000000004,50.61349693251533
2024-09-20,24.4,34.4,28.8,75.0,,laporan_iklim_harian-september 2024.xlsx,9,264,0.8,1,2.8000000000000003,4,24.2,10,10.0,
2024-09-21,23.9,34.8,28.7,72.0,0.1,laporan_iklim_harian-september 2024.xlsx,9,265,0.8999999999999982,2,2.9000000000000004,5,24.3,11,10.899999999999999,42.714723926380366
2024-09-22,24.4,35.1,29.5,71.0,0.0,laporan_iklim_harian-september 2024.xlsx,9,266,0.09999999999999823,2,1.3,5,16.0,11,10.700000000000003,21.012269938650306
2024-09-23,25.5,34.3,28.2,82.0,0.0,laporan_iklim_harian-september 2024.xlsx,9,267,0.09999999999999823,3,0.9,5,16.0,11,8.799999999999997,21.012269938650306
2024-09-24,22.7,33.9,26.7,79.0,1.4,laporan_iklim_harian-september 2024.xlsx,9,268,1.3999999999999981,3,2.3,5,12.6,11,11.2,54.44785276073619
2024-09-25,23.3,33.5,28.5,76.0,0.0,laporan_iklim_harian-september 2024.xlsx,9,269,1.3999999999999981,3,2.3,6,12.5,11,10.2,21.012269938650306
2024-09-26,22.3,29.9,24.7,89.0,1.5,laporan_iklim_harian-september 2024.xlsx,9,270,2.899999999999998,3,3.0,6,5.8,11,7.599999999999998,55.52147239263804
2024-09-27,22.4,33.9,27.9,79.0,0.8,laporan_iklim_harian-september 2024.xlsx,9,271,2.299999999999998,3,3.8,7,6.6,11,11.5,50.61349693251533
2024-09-28,24.0,31.4,26.8,86.0,0.0,laporan_iklim_harian-september 2024.xlsx,9,272,2.299999999999998,3,3.6999999999999997,7,6.6,12,7.399999999999999,21.012269938650306
2024-09-29,24.5,34.7,28.6,78.0,4.1,laporan_iklim_harian-september 2024.xlsx,9,273,4.899999999999998,3,7.799999999999999,7,9.1,12,10.200000000000003,66.25766871165644
2024-09-30,23.8,34.6,28.3,77.0,,laporan_iklim_harian-september 2024.xlsx,9,274,4.099999999999998,2,7.799999999999999,6,8.7,11,10.8,
2024-10-01,23.6,32.1,26.8,82.0,0.0,laporan_iklim_harian-oktober 2024.xlsx,10,275,4.099999999999998,2,6.399999999999999,6,8.7,11,8.5,21.012269938650306
2024-10-02,23.9,34.5,28.7,78.0,,laporan_iklim_harian-oktober 2024.xlsx,10,276,0.0,1,6.399999999999999,5,8.7,11,10.600000000000001,
2024-10-03,23.7,33.0,26.9,85.0,2.0,laporan_iklim_harian-oktober 2024.xlsx,10,277,1.9999999999999982,2,6.899999999999999,5,9.899999999999999,11,9.3,57.82208588957055
2024-10-04,24.3,32.0,26.7,87.0,2.5,laporan_iklim_harian-oktober 2024.xlsx,10,278,4.499999999999998,2,8.599999999999998,5,12.399999999999999,12,7.699999999999999,60.73619631901841
2024-10-05,24.7,33.0,26.8,85.0,,laporan_iklim_harian-oktober 2024.xlsx,10,279,4.499999999999998,2,8.599999999999998,4,12.299999999999999,11,8.3,
2024-10-06,23.6,32.2,27.3,82.0,24.2,laporan_iklim_harian-oktober 2024.xlsx,10,280,26.699999999999996,2,28.699999999999996,4,36.5,11,8.600000000000001,86.42638036809815
2024-10-07,24.1,33.2,28.5,75.0,0.0,laporan_iklim_harian-oktober 2024.xlsx,10,281,24.2,2,28.7,5,36.5,11,9.100000000000001,21.012269938650306
2024-10-08,24.8,31.1,26.8,91.0,0.0,laporan_iklim_harian-oktober 2024.xlsx,10,282,24.2,3,28.7,5,35.099999999999994,11,6.300000000000001,21.012269938650306
2024-10-09,24.3,33.6,28.4,79.0,13.3,laporan_iklim_harian-oktober 2024.xlsx,10,283,13.3,3,42.0,6,48.4,11,9.3,77.91411042944786
2024-10-10,24.5,31.8,26.9,85.0,0.0,laporan_iklim_harian-oktober 2024.xlsx,10,284,13.3,3,40.0,6,46.9,11,7.300000000000001,21.012269938650306
2024-10-11,25.0,32.2,27.7,84.0,11.7,laporan_iklim_harian-oktober 2024.xlsx,10,285,25.0,3,49.2,6,57.8,11,7.200000000000003,76.15030674846625
2024-10-12,23.5,32.1,27.1,85.0,20.3,laporan_iklim_harian-oktober 2024.xlsx,10,286,32.0,3,69.5,7,78.1,11,8.600000000000001,84.66257668711657
2024-10-13,23.8,33.0,26.7,87.0,0.7,laporan_iklim_harian-oktober 2024.xlsx,10,287,32.7,3,46.0,7,74.7,11,9.2,49.76993865030675
2024-10-14,24.4,33.0,28.1,82.0,43.0,laporan_iklim_harian-oktober 2024.xlsx,10,288,64.0,3,89.0,7,117.7,12,8.600000000000001,93.71165644171779
2024-10-15,23.2,31.7,26.9,82.0,1.0,laporan_iklim_harian-oktober 2024.xlsx,10,289,44.7,3,90.0,7,118.7,12,8.5,51.99386503067485
2024-10-16,23.7,32.7,28.3,79.0,1.2,laporan_iklim_harian-oktober 2024.xlsx,10,290,45.2,3,77.9,7,119.9,13,9.000000000000004,52.99079754601227
2024-10-17,25.0,32.8,27.9,81.0,0.0,laporan_iklim_harian-oktober 2024.xlsx,10,291,2.2,3,77.9,7,117.9,13,7.799999999999997,21.012269938650306
2024-10-18,23.3,33.2,26.1,83.0,23.5,laporan_iklim_harian-oktober 2024.xlsx,10,292,24.7,3,89.7,7,138.9,13,9.900000000000002,85.88957055214725
2024-10-19,23.2,33.9,27.8,74.0,0.3,laporan_iklim_harian-oktober 2024.xlsx,10,293,23.8,3,69.7,7,139.2,14,10.7,46.08895705521473
2024-10-20,23.2,34.7,28.1,75.0,1.5,laporan_iklim_harian-oktober 2024.xlsx,10,294,25.3,3,70.5,7,116.5,14,11.500000000000004,55.52147239263804
2024-10-21,24.1,34.8,29.4,75.0,0.0,laporan_iklim_harian-oktober 2024.xlsx,10,295,1.8,3,27.5,7,116.5,14,10.699999999999996,21.012269938650306
2024-10-22,25.1,35.5,29.8,70.0,0.0,laporan_iklim_harian-oktober 2024.xlsx,10,296,1.5,3,26.5,7,116.5,14,10.399999999999999,21.012269938650306
2024-10-23,25.2,35.3,29.6,71.0,0.0,laporan_iklim_harian-oktober 2024.xlsx,10,297,0.0,3,25.3,7,103.2,14,10.099999999999998,21.012269938650306
2024-10-24,25.2,34.8,29.6,74.0,0.0,laporan_iklim_harian-oktober 2024.xlsx,10,298,0.0,3,25.3,7,103.2,14,9.599999999999998,21.012269938650306
2024-10-25,24.6,34.6,28.5,72.0,0.0,laporan_iklim_harian-oktober 2024.xlsx,10,299,0.0,3,1.8,7,91.5,14,10.0,21.012269938650306
2024-10-26,24.8,35.0,29.0,72.0,0.0,laporan_iklim_harian-oktober 2024.xlsx,10,300,0.0,3,1.5,7,71.2,14,10.2,21.012269938650306
2024-10-27,23.4,35.5,29.7,68.0,0.0,laporan_iklim_harian-oktober 2024.xlsx,10,301,0.0,3,0.0,7,70.5,14,12.100000000000001,21.012269938650306
2024-10-28,24.0,36.1,29.5,66.0,0.0,laporan_iklim_harian-oktober 2024.xlsx,10,302,0.0,3,0.0,7,27.5,14,12.100000000000001,21.012269938650306
2024-10-29,24.4,35.9,30.0,71.0,0.0,laporan_iklim_harian-oktober 2024.xlsx,10,303,0.0,3,0.0,7,26.5,14,11.5,21.012269938650306
2024-10-30,21.8,34.9,28.1,75.0,53.6,laporan_iklim_harian-oktober 2024.xlsx,10,304,53.6,3,53.6,7,78.9,14,13.099999999999998,96.0122699386503
2024-10-31,22.4,32.5,27.5,79.0,0.0,laporan_iklim_harian-oktober 2024.xlsx,10,305,53.6,3,53.6,7,78.9,14,10.100000000000001,21.012269938650306
2024-11-01,22.4,33.4,27.5,80.0,38.4,laporan_iklim_harian-november-2024.xlsx,11,306,92.0,3,92.0,7,93.8,14,11.0,92.02453987730061
2024-11-02,23.4,30.4,26.4,88.0,4.2,laporan_iklim_harian-november-2024.xlsx,11,307,42.6,3,96.2,7,97.7,14,7.0,66.56441717791411
2024-11-03,24.0,35.0,28.8,78.0,0.0,laporan_iklim_harian-november-2024.xlsx,11,308,42.6,3,96.2,7,96.2,14,11.0,21.012269938650306
2024-11-04,22.6,30.4,26.2,84.0,12.4,laporan_iklim_harian-november-2024.xlsx,11,309,16.6,3,108.6,7,108.6,14,7.799999999999997,76.68711656441718
2024-11-05,23.3,32.1,26.2,87.0,6.0,laporan_iklim_harian-november-2024.xlsx,11,310,18.400000000000002,3,114.6,7,114.6,14,8.8,68.48159509202453
2024-11-06,23.4,32.5,27.2,82.0,3.3,laporan_iklim_harian-november-2024.xlsx,11,311,21.700000000000003,3,64.3,7,117.9,14,9.100000000000001,63.80368098159509
2024-11-07,22.0,29.6,25.2,90.0,44.1,laporan_iklim_harian-november-2024.xlsx,11,312,53.400000000000006,3,108.4,7,162.0,14,7.600000000000001,94.32515337423312
2024-11-08,22.7,31.9,26.6,84.0,1.2,laporan_iklim_harian-november-2024.xlsx,11,313,48.6,3,71.19999999999999,7,163.2,14,9.2,52.99079754601227
2024-11-09,22.9,33.5,27.8,79.0,0.0,laporan_iklim_harian-november-2024.xlsx,11,314,45.300000000000004,3,67.0,7,163.2,14,10.600000000000001,21.012269938650306
2024-11-10,22.3,31.7,26.8,83.0,97.1,laporan_iklim_harian-november-2024.xlsx,11,315,98.3,3,164.1,7,260.3,14,9.399999999999999,99.5398773006135
2024-11-11,23.2,34.5,29.0,79.0,0.0,laporan_iklim_harian-november-2024.xlsx,11,316,97.1,3,151.7,7,260.3,14,11.3,21.012269938650306
2024-11-12,23.3,32.2,26.9,86.0,37.6,laporan_iklim_harian-november-2024.xlsx,11,317,134.7,3,183.29999999999998,7,297.9,14,8.900000000000002,91.87116564417178
2024-11-13,23.6,30.6,26.8,86.0,6.6,laporan_iklim_harian-november-2024.xlsx,11,318,44.2,3,186.59999999999997,7,250.9,14,7.0,69.24846625766872
2024-11-14,24.2,32.1,26.2,89.0,0.0,laporan_iklim_harian-november-2024.xlsx,11,319,44.2,3,142.49999999999997,7,250.9,14,7.900000000000002,21.012269938650306
2024-11-15,23.9,32.3,28.1,83.0,33.1,laporan_iklim_harian-november-2024.xlsx,11,320,39.7,3,174.4,7,245.6,14,8.399999999999999,90.49079754601227
2024-11-16,24.9,31.7,26.5,89.0,0.0,laporan_iklim_harian-november-2024.xlsx,11,321,33.1,3,174.4,7,241.4,14,6.800000000000001,21.012269938650306
2024-11-17,23.8,32.1,27.2,86.0,56.2,laporan_iklim_harian-november-2024.xlsx,11,322,89.30000000000001,3,133.5,7,297.6,14,8.3,96.47239263803681
2024-11-18,23.3,31.2,25.7,90.0,0.1,laporan_iklim_harian-november-2024.xlsx,11,323,56.300000000000004,3,133.6,7,285.29999999999995,14,7.899999999999999,42.714723926380366
2024-11-19,23.2,31.1,26.3,90.0,70.0,laporan_iklim_harian-november-2024.xlsx,11,324,126.30000000000001,3,166.0,7,349.29999999999995,14,7.900000000000002,98.31288343558282
2024-11-20,24.0,31.9,26.8,90.0,,laporan_iklim_harian-november-2024.xlsx,11,325,70.10000000000001,2,159.4,6,346.0,13,7.899999999999999,
2024-11-21,24.7,32.3,26.5,90.0,1.9,laporan_iklim_harian-november-2024.xlsx,11,326,71.90000000000002,2,161.3,6,303.8,13,7.599999999999998,57.20858895705522
2024-11-22,23.4,32.1,26.4,87.0,38.7,laporan_iklim_harian-november-2024.xlsx,11,327,40.600000000000016,2,166.9,6,341.3,13,8.700000000000003,92.33128834355828
2024-11-23,24.0,30.1,26.4,92.0,2.0,laporan_iklim_harian-november-2024.xlsx,11,328,42.600000000000016,3,168.9,6,343.3,13,6.100000000000001,57.82208588957055
2024-11-24,23.7,29.7,26.1,91.0,0.3,laporan_iklim_harian-november-2024.xlsx,11,329,41.000000000000014,3,113.00000000000001,6,246.5,13,6.0,46.08895705521473
2024-11-25,24.1,31.4,25.8,93.0,3.3,laporan_iklim_harian-november-2024.xlsx,11,330,5.600000000000014,3,116.2,6,249.79999999999998,13,7.299999999999997,63.80368098159509
2024-11-26,23.4,33.6,26.8,86.0,2.6,laporan_iklim_harian-november-2024.xlsx,11,331,6.2000000000000135,3,48.800000000000004,6,214.8,13,10.200000000000003,61.19631901840491
2024-11-27,23.2,29.4,25.6,92.0,15.3,laporan_iklim_harian-november-2024.xlsx,11,332,21.200000000000014,3,64.1,7,223.5,13,6.199999999999999,79.67791411042946
2024-11-28,23.4,32.8,26.9,85.0,2.2,laporan_iklim_harian-november-2024.xlsx,11,333,20.100000000000012,3,64.4,7,225.70000000000002,13,9.399999999999999,59.43251533742331
2024-11-29,23.0,27.8,25.4,93.0,7.7,laporan_iklim_harian-november-2024.xlsx,11,334,25.200000000000017,3,33.4,7,200.3,13,4.800000000000001,71.62576687116564
2024-11-30,23.8,33.4,28.0,81.0,,laporan_iklim_harian-november-2024.xlsx,11,335,9.900000000000015,2,31.4,6,200.3,12,9.599999999999998,
2024-12-01,23.8,32.6,27.5,82.0,4.1,laporan_iklim_harian-desember-2024.xlsx,12,336,11.800000000000011,2,35.2,6,148.2,12,8.8,66.25766871165644
2024-12-02,23.9,29.8,26.6,87.0,0.0,laporan_iklim_harian-desember-2024.xlsx,12,337,4.100000000000012,2,31.900000000000002,6,148.1,12,5.900000000000002,21.012269938650306
2024-12-03,24.0,31.3,27.4,83.0,1.4,laporan_iklim_harian-desember-2024.xlsx,12,338,5.500000000000012,3,30.7,6,79.5,12,7.300000000000001,54.44785276073619
